epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2500.57,1.23861,0.76784,1.1261,0.85924,0.69133,0.78695,0.49108,1.31223,0.94169,1.14916,0.000665076,0.000665076,0.000665076
2,4829.51,1.24773,0.78974,1.13801,0.85766,0.71787,0.79911,0.48197,1.32596,0.85522,1.13752,0.000892267,0.000892267,0.000892267
3,7295.63,1.22392,0.74308,1.12369,0.88577,0.76046,0.83941,0.52539,1.2895,0.68537,1.10942,0.000679459,0.000679459,0.000679459
